step,experiment,solver,network,n_requests,run,capacity,tw_duration,threads,runtime_ms,pareto_size,route_index,served,lu_cost,distance,route,clusters,prefixes_explored,prefixes_pruned,pruned_capacity,pruned_lu_bound,pruned_seed_lu,backtrack_calls,cluster_orderings,cross_product,valid_orderings,seed_lu,seed_dist,lb_lu,status,timeout
step3,network_scalability,Insertion,oldenburg,20,1,,,,3418,1,1,18,70,38502.80,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,oldenburg,20,2,,,,3237,1,1,18,76,40267.16,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,oldenburg,20,3,,,,3666,1,1,9,48,42501.76,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,oldenburg,20,4,,,,3837,1,1,16,88,35521.86,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,oldenburg,20,5,,,,4185,1,1,11,52,36780.63,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,oldenburg,20,6,,,,4605,1,1,16,74,48891.55,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,oldenburg,20,7,,,,2690,1,1,10,40,36169.72,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,oldenburg,20,8,,,,4822,1,1,15,50,46149.87,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,oldenburg,20,9,,,,1970,1,1,17,54,36850.66,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,oldenburg,20,10,,,,1566,1,1,8,24,32937.72,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,oldenburg,20,1,,,,251,1,1,4,9,5566.34,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,oldenburg,20,2,,,,405,1,1,9,27,9962.67,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,oldenburg,20,3,,,,340,1,1,6,16,9185.25,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,oldenburg,20,4,,,,423,1,1,7,36,16543.79,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,oldenburg,20,5,,,,384,1,1,7,18,15294.72,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,oldenburg,20,6,,,,382,1,1,9,25,16218.80,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,oldenburg,20,7,,,,510,1,1,11,32,21922.65,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,oldenburg,20,8,,,,372,1,1,9,18,15845.39,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,oldenburg,20,9,,,,264,1,1,5,13,13272.76,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,oldenburg,20,10,,,,386,1,1,9,20,21646.09,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,california,20,1,,,,263,0,0,0,0,0.00,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,california,20,2,,,,213,0,0,0,0,0.00,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,california,20,3,,,,182,0,0,0,0,0.00,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,california,20,4,,,,199,0,0,0,0,0.00,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,california,20,5,,,,240,0,0,0,0,0.00,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,california,20,6,,,,216,0,0,0,0,0.00,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,california,20,7,,,,234,0,0,0,0,0.00,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,california,20,8,,,,222,0,0,0,0,0.00,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,california,20,9,,,,292,0,0,0,0,0.00,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,california,20,10,,,,178,0,0,0,0,0.00,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,california,20,1,,,,387,1,1,5,5,126692.17,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,california,20,2,,,,201,0,0,0,0,0.00,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,california,20,3,,,,172,0,0,0,0,0.00,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,california,20,4,,,,197,0,0,0,0,0.00,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,california,20,5,,,,222,0,0,0,0,0.00,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,california,20,6,,,,198,0,0,0,0,0.00,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,california,20,7,,,,333,1,1,4,4,27191.29,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,california,20,8,,,,190,0,0,0,0,0.00,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,california,20,9,,,,300,0,0,0,0,0.00,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,california,20,10,,,,178,0,0,0,0,0.00,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,london,20,1,,,,4155,1,1,15,64,22076.54,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,london,20,2,,,,6483,1,1,8,40,18805.36,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,london,20,3,,,,1123,1,1,12,84,14139.16,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,london,20,4,,,,4920,1,1,15,76,14240.86,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,london,20,5,,,,2861,1,1,10,76,13056.21,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,london,20,6,,,,19623,1,1,22,94,39262.14,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,london,20,7,,,,17658,1,1,17,106,20520.62,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,london,20,8,,,,16349,1,1,13,60,22312.31,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,london,20,9,,,,12769,1,1,20,154,11775.10,,,,,,,,,,,,,,,success,0
step3,network_scalability,Insertion,london,20,10,,,,12945,1,1,9,42,30585.57,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,london,20,1,,,,200,1,1,2,4,2222.23,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,london,20,2,,,,857,1,1,7,26,19063.68,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,london,20,3,,,,230,1,1,10,32,12603.54,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,london,20,4,,,,385,1,1,11,38,9395.89,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,london,20,5,,,,355,1,1,13,45,5862.29,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,london,20,6,,,,1006,1,1,3,8,579.67,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,london,20,7,,,,822,1,1,8,21,5770.19,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,london,20,8,,,,2045,1,1,14,72,22199.54,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,london,20,9,,,,705,1,1,15,88,11518.10,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,london,20,10,,,,970,1,1,5,12,1905.24,,,,,,,,,,,,,,,success,0
step3,network_scalability,OptLoad,oldenburg,20,1,,,,566,0,0,0,0,0.00,,17,54,0,0,0,0,54,23,0,0,590,212024.72,126,success,0
step3,network_scalability,OptLoad,oldenburg,20,2,,,,441,1,1,11,28,21295.88,"[Depot:2225,S14:727,S17:5542,S20:2058,D17:124,Depot:2225]",17,11,0,0,0,0,11,6,2,2,814,211516.43,142,success,0
step3,network_scalability,OptLoad,oldenburg,20,3,,,,417,0,0,0,0,0.00,,17,17,0,0,0,0,17,8,0,0,854,187384.33,120,success,0
step3,network_scalability,OptLoad,oldenburg,20,4,,,,405,0,0,0,0,0.00,,18,31,0,0,0,0,31,14,0,0,558,178284.30,96,success,0
step3,network_scalability,OptLoad,oldenburg,20,5,,,,476,0,0,0,0,0.00,,18,26,0,0,0,0,26,12,0,0,720,205366.23,116,success,0
step3,network_scalability,OptLoad,oldenburg,20,6,,,,391,0,0,0,0,0.00,,19,20,0,0,0,0,20,9,0,0,812,164730.30,120,success,0
step3,network_scalability,OptLoad,oldenburg,20,7,,,,435,0,0,0,0,0.00,,19,23,0,0,0,0,23,11,0,0,658,194554.12,102,success,0
step3,network_scalability,OptLoad,oldenburg,20,8,,,,408,0,0,0,0,0.00,,19,48,0,0,0,0,48,22,0,0,802,191513.15,120,success,0
step3,network_scalability,OptLoad,oldenburg,20,9,,,,447,0,0,0,0,0.00,,17,19,0,0,0,0,19,10,0,0,700,181763.04,128,success,0
